epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,64.09340301513672,1.75,24.655841751098635,2.5
2,37.99735504150391,3.5625,16.691538047790527,4.5
3,24.40785430908203,5.125,11.39701374053955,10.0
4,14.929147491455078,8.5625,7.833189392089844,15.75
5,9.092095022201539,11.625,5.525212335586548,15.75
6,6.322100262641907,14.9375,4.44693660736084,17.5
7,4.861642456054687,18.25,3.873099708557129,19.5
8,4.2382384252548215,18.8125,3.605995941162109,24.25
9,3.8284717750549317,19.5,3.4078749942779543,25.5
10,3.533355088233948,22.9375,3.255701866149902,24.5
11,3.292310218811035,24.3125,3.190257625579834,27.0
12,3.255550594329834,25.0,3.109867811203003,27.75
13,3.147969651222229,27.5625,3.0614183521270752,28.75
14,3.0749025440216062,27.6875,3.019290819168091,28.5
15,2.9777784013748168,28.6875,2.950825605392456,29.25
16,2.8665213346481324,30.8125,2.907871799468994,30.0
17,2.811146912574768,31.625,2.8451861476898195,33.0
18,2.7675547885894773,33.6875,2.818735055923462,33.0
19,2.7370366764068605,32.375,2.773519153594971,33.75
20,2.6038876581192016,36.3125,2.7363193225860596,36.0
21,2.569292893409729,35.9375,2.7240450382232666,36.0
22,2.4831291317939757,37.5,2.6936382341384886,36.5
23,2.5165326261520384,37.0625,2.6568387079238893,35.75
24,2.4438417744636536,39.0,2.6581538581848143,37.5
25,2.3684160041809084,40.4375,2.5829478931427,40.0
26,2.347840211391449,39.75,2.547126655578613,40.0
27,2.29465585231781,42.875,2.4957936000823975,39.5
28,2.2298673224449157,44.0625,2.4639266681671144,41.0
29,2.1737809014320373,43.625,2.4587043380737303,41.5
30,2.1072821736335756,45.125,2.3837397861480714,41.25
31,2.1022028160095214,45.625,2.3468862104415895,44.0
32,2.0510271096229555,46.4375,2.310668649673462,43.75
33,1.9810803127288819,48.3125,2.2644501876831056,46.25
34,1.9277036571502686,49.1875,2.275917673110962,45.5
35,1.9513127398490906,48.375,2.2099921321868896,46.25
36,1.8766163301467895,50.25,2.1886537170410154,47.5
37,1.835062096118927,51.625,2.1635912466049194,47.0
38,1.828432524204254,50.9375,2.14110716342926,47.75
39,1.7994257664680482,52.5,2.107737522125244,50.25
40,1.753404939174652,52.5625,2.0672747802734377,51.25
41,1.720931453704834,52.875,2.065174446105957,51.25
42,1.6815545296669006,54.3125,2.0414659643173216,53.25
43,1.6568679094314576,54.1875,2.0403206086158754,51.75
44,1.6223244452476502,55.9375,2.000900309085846,52.5
45,1.5912261176109315,56.375,2.012705144882202,51.5
46,1.5580269300937652,57.8125,1.9452029991149902,53.5
47,1.5262066507339478,57.1875,1.9506913661956786,52.75
48,1.4683995270729064,60.25,1.9611115217208863,52.0
49,1.492617005109787,58.875,1.9670699691772462,53.5
50,1.4648648369312287,59.625,1.910446000099182,53.75
