epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,58.89835578918457,2.25,20.956030616760255,2.75
2,32.081750297546385,3.5625,13.916612663269042,7.25
3,20.801719188690186,6.75,9.73886474609375,12.0
4,12.736967868804932,11.0625,6.817582473754883,14.0
5,7.7702725315093994,13.6875,5.002304801940918,15.0
6,5.581515922546386,15.0,4.1125751495361325,18.5
7,4.59474021434784,16.625,3.704147472381592,20.0
8,3.9747106075286864,19.375,3.4294364738464354,20.75
9,3.684527564048767,20.75,3.3065386390686036,23.5
10,3.404275407791138,22.625,3.204599828720093,24.5
11,3.229307656288147,25.0,3.1473566055297852,26.5
12,3.1031059551239015,28.0,3.0823129749298097,27.5
13,3.0256435012817384,28.6875,3.01115177154541,29.25
14,2.902466220855713,29.5625,2.964240322113037,29.75
15,2.7819677734375,35.0,2.920168914794922,31.5
16,2.711068515777588,33.1875,2.841112051010132,34.5
17,2.583676381111145,35.3125,2.810793037414551,35.75
18,2.5361509037017824,38.1875,2.757895622253418,35.0
19,2.5267112135887144,37.75,2.7322141551971435,34.75
20,2.4913058137893676,38.25,2.6827984714508055,38.5
21,2.3946370553970335,39.375,2.6570847034454346,37.0
22,2.309313428401947,40.875,2.6328744411468508,37.25
23,2.2625437331199647,41.5625,2.613419361114502,37.0
24,2.2757555532455442,43.3125,2.5440040683746337,40.75
25,2.1404431080818176,45.25,2.5386488914489744,40.25
26,2.1007197952270507,46.4375,2.4947722434997557,42.0
27,2.086821148395538,47.375,2.500802516937256,42.5
28,2.012588155269623,47.3125,2.458613872528076,42.75
29,1.9677647066116333,49.0625,2.42858434677124,42.25
30,1.920768792629242,49.3125,2.397133731842041,43.0
31,1.8938893175125122,50.4375,2.3622632122039793,45.5
32,1.8664160895347595,50.625,2.3358418941497803,44.75
33,1.8024789428710937,51.8125,2.3226691913604736,44.0
34,1.7391523456573486,53.125,2.2613592529296875,46.0
35,1.7232209360599517,52.9375,2.2747286128997803,45.0
36,1.7247808289527893,53.3125,2.2464327144622804,46.0
37,1.673860146999359,54.3125,2.2040848541259765,47.25
38,1.6692937850952148,54.25,2.2077283668518066,48.75
39,1.5988901436328888,57.25,2.1634482669830324,49.5
40,1.5053520536422729,58.0,2.1587963771820067,50.25
41,1.5447923505306245,56.75,2.1311618423461915,50.5
42,1.5008501195907593,58.6875,2.1299596881866454,49.5
43,1.4615482318401336,59.0625,2.096225824356079,49.25
44,1.4260517680644988,60.1875,2.0850577926635743,50.75
45,1.4250027930736542,60.0625,2.059068355560303,51.5
46,1.3222422635555267,63.875,2.0611900329589843,52.0
47,1.3713254630565643,61.4375,2.0170434665679933,52.25
48,1.3439417886734009,61.4375,2.0596341419219972,52.75
49,1.2743697142601014,64.5,2.0288373470306396,53.75
50,1.253905942440033,63.125,2.003018846511841,53.75
