epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,20.054294376373292,6.4375,3.656251935958862,10.5
2,3.47377685546875,14.5,3.387911376953125,21.25
3,3.211641960144043,19.6875,3.2087653350830077,24.75
4,3.0889040279388427,24.1875,2.987294521331787,30.75
5,2.885244917869568,28.125,2.9059880447387694,30.0
6,2.696703326702118,31.25,2.6521611499786375,33.25
7,2.5405289721488953,34.625,2.5108939266204833,39.75
8,2.446050457954407,34.4375,2.4644957065582274,37.0
9,2.318737015724182,37.5625,2.3108489990234373,39.5
10,2.2172607731819154,38.625,2.2257262229919434,43.0
11,2.1678707337379457,40.375,2.2014870500564574,41.75
12,2.0221614456176757,42.625,2.1068053245544434,41.5
13,2.030864887237549,42.5,2.1360395336151123,44.5
14,1.886604299545288,46.4375,1.9179387712478637,53.0
15,1.837951648235321,45.6875,2.0874004554748535,50.75
16,1.8368928337097168,48.0,2.02377694606781,50.75
17,1.7682354354858398,46.9375,1.861101779937744,50.5
18,1.7115959024429321,49.8125,1.919749846458435,51.25
19,1.7528648257255555,48.5,2.113117914199829,46.75
20,1.7281529641151427,47.3125,2.0499833393096925,49.5
21,1.6844851207733154,49.0625,1.8179266691207885,48.5
22,1.7072022223472596,50.0,1.8670990371704101,53.5
23,1.670918951034546,49.0,1.804944167137146,51.25
24,1.6355671334266662,52.0625,1.8954184293746947,51.5
25,1.5951092791557313,50.8125,1.7483043766021729,54.25
26,1.5897462368011475,50.75,1.7076814699172973,56.0
27,1.4547522962093353,55.5,1.9267361497879028,49.0
28,1.504977467060089,53.0625,1.9126391553878783,53.5
29,1.4523386538028717,53.0625,1.8214299631118775,55.0
30,1.5247362709045411,53.375,1.8632299757003785,52.25
31,1.4262698221206664,54.5,1.7448222923278809,55.5
32,1.4915917801856995,53.875,1.9103685665130614,52.25
33,1.4776220440864563,54.25,1.6920923042297362,58.5
34,1.3182867467403412,59.0,1.7476218700408936,52.5
35,1.3793241786956787,57.8125,1.682761654853821,59.25
36,1.336735461950302,56.8125,1.7414171695709229,55.75
37,1.3258264398574828,57.6875,1.7416044759750366,57.5
38,1.3357646775245666,57.125,1.8411116361618043,54.25
39,1.443914760351181,54.3125,1.7672137880325318,56.0
40,1.36842991232872,57.1875,2.042801580429077,52.25
41,1.3894358444213868,55.875,1.7602436113357545,56.75
42,1.3468937730789186,57.0,1.6633970737457275,58.5
43,1.4020836913585664,58.125,1.7968369579315187,54.0
44,1.3274145913124085,57.4375,1.7693009710311889,58.75
45,1.2749225103855133,60.0,1.5915551733970643,62.0
46,1.2382183170318604,60.375,1.7417359066009521,57.25
47,1.2304361736774445,61.0625,1.697827649116516,56.75
48,1.2768386101722717,58.9375,1.722983591556549,58.25
49,1.2855435168743135,58.5,1.7109468007087707,59.75
50,1.2182289743423462,60.5,1.8762679672241211,54.5
