epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,21.315372896194457,6.625,3.5987151718139647,14.75
2,3.425097007751465,15.5,3.224662895202637,19.25
3,3.1421356058120726,23.75,3.039835948944092,28.25
4,2.9756743812561037,26.8125,2.79274619102478,31.5
5,2.915091118812561,28.1875,2.8728067588806154,31.0
6,2.70956440448761,31.75,2.7047851371765135,34.25
7,2.449583258628845,37.25,2.4770784854888914,40.0
8,2.3581949067115784,38.75,2.2913508510589597,40.5
9,2.240062675476074,39.875,2.18785231590271,42.0
10,2.1287876963615417,42.875,2.3180798625946046,37.75
11,2.173803470134735,40.5625,2.0794920825958254,44.25
12,2.0659811663627625,43.1875,2.035109910964966,48.0
13,1.9241839241981507,45.3125,2.030937032699585,47.0
14,1.855049204826355,45.875,1.8480799865722657,50.5
15,1.7786044573783875,49.125,1.9374374675750732,47.75
16,1.8026010513305664,47.25,1.833514280319214,50.5
17,1.7215453362464905,48.625,1.8270013236999512,50.0
18,1.6049751734733582,52.4375,1.7260993671417237,52.0
19,1.5782782292366029,53.25,1.9078983783721923,45.5
20,1.5969826865196228,51.5,1.8220371437072753,52.0
21,1.5406058526039124,53.875,1.7857249069213867,55.25
22,1.5350484108924867,54.625,1.8178800201416017,53.0
23,1.5254775071144104,53.4375,1.7758782768249513,55.25
24,1.4513194167613983,56.875,1.7386813259124756,53.0
25,1.3498487341403962,59.4375,1.7739314174652099,57.25
26,1.3418265187740326,59.0625,1.7874968338012696,54.75
27,1.3530773890018464,58.0,1.7296576309204101,56.0
28,1.3622261238098146,55.875,1.8129947471618653,54.75
29,1.3270372533798218,60.4375,1.919213752746582,54.25
30,1.4483914113044738,54.25,1.8188904190063477,55.0
31,1.4343238973617554,55.3125,1.7257968235015868,54.0
32,1.4181569290161133,55.0625,1.7342830657958985,54.5
33,1.361041328907013,58.9375,1.6570866584777832,55.25
34,1.2985615205764771,59.75,1.6789540004730226,57.0
35,1.2350984728336334,60.6875,1.7005550479888916,54.75
36,1.2211964547634124,61.3125,1.6047882080078124,57.25
37,1.3101531648635865,60.25,1.6432666826248168,57.0
38,1.2181029725074768,61.25,1.7447223663330078,58.0
39,1.1271202647686005,63.125,1.8013492965698241,58.0
40,1.2940041887760163,58.8125,1.6736133813858032,59.25
41,1.3777266395092012,55.75,1.881412935256958,53.25
42,1.1894254422187804,61.5,1.7867100286483764,59.0
43,1.237506697177887,60.75,1.799081392288208,56.5
44,1.2240334713459016,62.0,1.7642321109771728,61.25
45,1.2135954260826112,59.6875,1.8265672302246094,57.75
46,1.2556893980503083,59.625,1.8062509775161744,60.5
47,1.0483081495761872,65.8125,1.6853919124603272,59.5
48,1.1224016618728638,64.375,1.717549114227295,57.75
49,1.1893741393089294,61.0,1.863342046737671,55.25
50,1.1093650209903716,64.6875,1.7882662868499757,56.25
