epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,3.8223407649993897,9.3125,3.6998595237731933,28.5
2,3.591350908279419,33.625,3.5065487480163573,49.0
3,3.368205986022949,48.0,3.273240661621094,53.75
4,3.119949097633362,52.625,3.0229177188873293,56.75
5,2.881854548454285,56.375,2.7690559959411623,57.25
6,2.6188833332061767,59.9375,2.5399881172180176,60.25
7,2.4076648926734925,61.3125,2.3283847332000733,61.25
8,2.2117309165000916,63.375,2.145794267654419,63.25
9,2.046194083690643,65.75,1.99485408782959,63.25
10,1.8889358711242676,65.6875,1.8491020202636719,66.0
11,1.7556910276412965,69.0,1.7293062257766723,68.5
12,1.6570907354354858,68.8125,1.6388176012039184,68.75
13,1.5584800410270692,70.0,1.537535924911499,72.0
14,1.473218274116516,71.75,1.462613868713379,74.25
15,1.4031991577148437,72.875,1.4007524204254151,74.75
16,1.3157479929924012,73.125,1.327978777885437,76.0
17,1.2657338571548462,74.75,1.2765025687217713,77.75
18,1.212521594762802,75.4375,1.2349762392044068,77.75
19,1.159735621213913,76.5625,1.1875040674209594,78.0
20,1.1072081756591796,77.3125,1.1501416873931884,79.75
21,1.0841706562042237,76.4375,1.103081464767456,79.0
22,1.0403554677963256,77.3125,1.0734454917907714,81.5
23,0.9891712713241577,80.0625,1.0630730819702148,80.0
24,0.978377650976181,79.6875,1.0223366045951843,81.5
25,0.9423952233791352,80.25,0.9880686950683594,82.0
26,0.9081964814662933,79.4375,0.968982925415039,81.5
27,0.8876803624629974,80.9375,0.9551461935043335,81.75
28,0.8450705206394196,82.75,0.9282602500915528,82.75
29,0.8437113964557648,80.9375,0.9057130241394042,82.75
30,0.8194965922832489,81.875,0.8934259343147278,82.25
31,0.7890399265289306,82.5,0.8716552996635437,84.25
32,0.7739501708745956,83.4375,0.8701119208335877,82.25
33,0.7682031518220902,82.375,0.8411246168613434,83.0
34,0.7421680200099945,84.0625,0.8348607742786407,84.0
35,0.7270639365911484,83.1875,0.8289028370380401,83.25
36,0.7189506030082703,84.5625,0.8075531244277954,83.75
37,0.6904722791910172,84.9375,0.7881144213676453,84.25
38,0.6855902230739593,84.0625,0.7791534209251404,85.75
39,0.6679468792676926,85.125,0.7670379567146302,84.5
40,0.6627692407369614,84.3125,0.7561567115783692,85.5
41,0.6559867721796036,83.9375,0.7508622550964356,84.25
42,0.641624265909195,83.6875,0.7315753531455994,85.75
43,0.6211798211932182,86.375,0.7475825476646424,84.25
44,0.6133287078142167,85.875,0.7361188209056855,84.25
45,0.6059553074836731,85.125,0.7243630969524384,85.25
46,0.594147989153862,86.6875,0.7270539546012879,84.0
47,0.5832346695661544,86.0625,0.7197911071777344,83.0
48,0.5767962473630905,85.375,0.6984509110450745,84.75
49,0.5589137852191925,86.4375,0.7102283787727356,85.25
50,0.5494311070442199,87.3125,0.7026642823219299,84.5
