architecture,variant,fold,best_clip_test_acc,final_clip_test_acc,best_clip_epoch,best_test_acc,final_test_acc,best_epoch
LSTM_Run8_CapacityMeanPool,short,1,0.5575,0.545,39,0.42583333333333334,0.4241666666666667,49
LSTM_Run8_CapacityMeanPool,short,2,0.595,0.5875,54,0.4438888888888889,0.4388888888888889,42
LSTM_Run8_CapacityMeanPool,short,3,0.605,0.6025,54,0.45916666666666667,0.45111111111111113,51
LSTM_Run8_CapacityMeanPool,short,4,0.66,0.64,40,0.5038888888888889,0.5013888888888889,57
LSTM_Run8_CapacityMeanPool,short,5,0.5775,0.5625,45,0.4272222222222222,0.4186111111111111,45
LSTM_Run1_Baseline,short,1,0.545,0.5025,33,0.3894444444444444,0.3825,48
LSTM_Run1_Baseline,short,2,0.5475,0.5225,39,0.4041666666666667,0.40194444444444444,54
LSTM_Run1_Baseline,short,3,0.555,0.5375,51,0.4122222222222222,0.4091666666666667,52
LSTM_Run1_Baseline,short,4,0.615,0.575,31,0.4761111111111111,0.44055555555555553,31
LSTM_Run1_Baseline,short,5,0.58,0.545,39,0.41083333333333333,0.4097222222222222,53
