epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,38.81467945098877,2.75,18.535943603515626,6.0
2,21.459009742736818,4.375,12.540718536376954,9.75
3,15.714968700408935,9.8125,9.892588005065917,15.5
4,11.9833975982666,14.75,7.643755092620849,21.75
5,9.188957738876343,21.125,6.283732433319091,27.5
6,7.268777904510498,24.6875,5.328008575439453,33.25
7,5.839436817169189,32.8125,4.551390047073364,37.5
8,4.687205533981324,35.9375,4.033763790130616,40.25
9,3.9951082944869993,39.875,3.596686267852783,45.0
10,3.4809403252601623,42.75,3.2571339321136477,46.0
11,3.121140730381012,44.75,3.091953115463257,49.0
12,2.7657286047935488,46.0625,2.921666488647461,46.0
13,2.494736490249634,49.0625,2.814216012954712,49.5
14,2.303052179813385,51.9375,2.7148083305358885,51.25
15,2.1620180583000184,52.5625,2.5462754726409913,50.75
16,1.983418152332306,54.0,2.493604164123535,52.0
17,1.801401492357254,56.3125,2.402314553260803,53.0
18,1.6982381629943848,57.8125,2.3558213901519776,54.5
19,1.6808769452571868,59.1875,2.36419047832489,53.25
20,1.59465673327446,61.125,2.2706224060058595,53.25
21,1.5024513864517213,61.1875,2.237455949783325,57.25
22,1.437173398733139,62.0625,2.239850106239319,56.0
23,1.4047633123397827,63.875,2.154474349021912,55.5
24,1.3022837662696838,65.0625,2.1698617219924925,58.75
25,1.2311901950836182,66.5625,2.1675907135009767,57.5
26,1.2043911838531494,67.125,2.130509386062622,57.75
27,1.1172791337966919,69.25,2.1339988136291503,57.0
28,1.0821691805124283,70.3125,2.064419975280762,58.5
29,1.0181765711307527,71.5,2.078741765022278,58.5
30,0.9909860903024673,70.875,2.0050193786621096,60.25
31,0.9630252975225448,71.4375,2.0062716436386108,59.75
32,0.9039663243293762,73.625,1.9964104747772218,59.5
33,0.8930258965492248,74.625,2.00447696685791,62.0
34,0.9061565530300141,74.4375,1.9856179714202882,59.5
35,0.8331378662586212,74.75,1.983147578239441,62.25
36,0.7969922608137131,76.375,1.9915368032455445,62.0
37,0.7626903712749481,77.0,1.9510580396652222,62.0
38,0.7348959690332413,77.125,1.9937377023696898,61.5
39,0.7175583189725876,78.5,1.986962308883667,62.25
40,0.6823376470804214,79.5625,1.9801107168197631,61.25
41,0.6733807677030563,78.1875,1.924441819190979,62.75
42,0.6420354205369949,80.3125,1.9709136056900025,62.0
43,0.6340387320518494,79.5625,1.97161696434021,62.0
44,0.6126953303813935,81.5,1.9433031177520752,61.0
45,0.5835722994804382,81.875,1.902323613166809,63.75
46,0.5409186524152756,82.625,1.911178150177002,62.0
47,0.5247959506511688,83.0,1.9021574306488036,61.25
48,0.5664439445734024,82.375,1.8775596380233766,63.0
49,0.5211726656556129,82.625,1.901749577522278,63.25
50,0.5285388281941414,83.1875,1.9034483861923217,63.0
