epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,17.580864610672,13.375,3.5571070861816407,21.25
2,2.8481404304504396,31.375,2.784258108139038,35.25
3,2.2291618299484255,43.3125,2.4086959838867186,40.5
4,1.831181001663208,50.6875,2.4384642839431763,41.75
5,1.5632785725593568,56.625,2.18080680847168,45.75
6,1.3434914827346802,61.5625,2.0505718421936034,47.75
7,1.262430419921875,62.125,2.202394790649414,48.0
8,1.1031292724609374,68.0625,2.135355896949768,49.75
9,1.075184282064438,67.375,1.96353355884552,50.75
10,0.9251173937320709,71.5,1.7769837188720703,54.0
11,0.893916939496994,72.1875,2.101459712982178,53.25
12,0.8437413311004639,73.4375,1.8430376768112182,52.75
13,0.8112500959634781,74.125,1.8929248547554016,54.75
14,0.7441046142578125,77.25,1.963714871406555,53.5
15,0.7092276531457901,76.0625,1.8491577005386353,54.5
16,0.7271620121598243,77.125,1.720620069503784,56.75
17,0.66266546189785,77.875,1.830850830078125,56.5
18,0.6087186497449875,79.6875,1.8621027851104737,58.0
19,0.55308239787817,81.125,1.8737119007110596,56.75
20,0.5474751871824265,81.8125,1.9899106645584106,58.25
21,0.5223218467831612,83.75,1.81488205909729,58.75
22,0.5105818340182304,83.625,2.044271192550659,57.0
23,0.4639609286189079,85.125,1.8576803255081176,59.75
24,0.4249772244691849,85.75,2.062142782211304,58.5
25,0.4393098372220993,85.0625,1.8072926664352418,58.0
26,0.4745963627099991,83.1875,1.98772310256958,56.0
27,0.46074422270059584,84.5625,1.9504325485229492,59.25
28,0.47250038385391235,84.0625,1.8623130989074708,58.75
29,0.44244639843702316,84.75,1.8530059337615967,61.5
30,0.3939977389574051,86.875,2.0455095100402834,60.5
31,0.42102656021714213,85.3125,1.9705722332000732,59.5
32,0.372517559081316,87.9375,1.765505962371826,65.25
33,0.3519193994998932,88.375,2.0438656282424925,62.0
34,0.33456436842679976,89.3125,1.9636457777023315,64.5
35,0.33221646279096606,88.3125,1.8951227855682373,61.75
36,0.3250918734073639,90.0,2.253732080459595,61.0
37,0.3818878072500229,87.25,2.255816297531128,59.75
38,0.4122401264309883,85.875,2.08684588432312,58.75
39,0.3211655877530575,88.9375,2.207788290977478,58.75
40,0.348148637264967,87.5625,2.3503005123138427,57.5
41,0.3043631945550442,88.875,2.0881315517425536,61.5
42,0.36102750688791274,87.75,2.1495296716690064,60.0
43,0.3478937648236752,88.75,1.921203203201294,61.0
44,0.3034373252093792,90.6875,2.216400079727173,61.5
45,0.3100678367912769,89.9375,1.9502249240875245,61.75
46,0.3065155538916588,89.375,1.9208578968048096,63.75
47,0.26102542512118815,91.6875,1.888536810874939,64.0
48,0.29151908934116366,90.5625,2.2601416969299315,60.75
49,0.3494593296945095,88.1875,1.963609857559204,61.75
50,0.3250089102983475,89.5,1.9823153114318848,64.25
