epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.907556231021881,46.0625,1.8206380224227905,65.0
2,1.2510417246818542,73.4375,1.032569408416748,76.75
3,0.785057185292244,82.9375,0.788311665058136,80.75
4,0.6089311611652374,86.0,0.6670486283302307,83.0
5,0.5210629677772523,87.25,0.575796115398407,84.75
6,0.41927452117204667,89.5625,0.5651658725738525,85.25
7,0.3793103349208832,89.9375,0.5220814228057862,87.5
8,0.3351302069425583,91.5625,0.5015633392333985,87.5
9,0.3013986772298813,92.3125,0.4708830690383911,88.5
10,0.2689400582015514,93.4375,0.4748363345861435,88.75
11,0.23818290501832962,94.0,0.44554510831832883,89.0
12,0.2142896541208029,95.3125,0.4522381508350372,89.0
13,0.19967033699154854,95.75,0.4597172439098358,88.0
14,0.18895197808742523,95.5,0.45033116459846495,87.75
15,0.1630967315286398,96.8125,0.42936029672622683,87.75
16,0.15920105934143067,95.875,0.4549036931991577,88.25
17,0.1504970868676901,96.6875,0.44785738468170166,87.5
18,0.1405664712935686,96.625,0.4492901211977005,89.25
19,0.12431642338633538,97.25,0.4425029310584068,88.5
20,0.11272199355065822,97.4375,0.44233680874109266,88.25
21,0.10984344368800521,97.8125,0.4589470076560974,88.75
22,0.10760354332625865,97.5625,0.466848583817482,88.25
23,0.09571742210537196,98.3125,0.47230921804904935,87.5
24,0.086973050609231,98.75,0.45601237416267393,89.25
25,0.08861308924853802,98.5,0.45158559918403623,89.25
26,0.07178176090121269,99.25,0.45102394223213194,88.0
27,0.07450976321473718,98.5625,0.44227031588554383,88.75
28,0.06651421286165714,98.9375,0.4455527859926224,88.25
29,0.06228622145950794,99.1875,0.4672258222103119,87.5
30,0.058766647828742864,99.0,0.4538769316673279,88.25
31,0.056089702397584915,99.375,0.4532544755935669,88.75
32,0.05194332867860794,99.5,0.4551233410835266,87.5
33,0.05330413892865181,99.125,0.47469037294387817,87.75
34,0.048847112599760295,99.375,0.470561597943306,87.25
35,0.046372296065092085,99.5,0.46674762964248656,88.25
36,0.04482834146358073,99.3125,0.49184300065040587,87.5
37,0.042591411340981725,99.375,0.487344411611557,88.0
38,0.04087242557667196,99.3125,0.49735983967781067,88.25
39,0.038726404085755346,99.5625,0.482396787405014,87.25
40,0.034300855956971646,99.5,0.4821003866195679,88.5
41,0.03428641054779291,99.625,0.458796346783638,88.25
42,0.030917371078394353,99.75,0.4938595312833786,87.75
43,0.02843907115980983,99.6875,0.49217362701892853,86.5
44,0.029063398111611606,99.625,0.4847532045841217,88.25
45,0.026243557687848806,99.75,0.4980339324474335,88.25
46,0.02515224853530526,99.8125,0.48611872404813766,88.0
47,0.02291638070717454,99.875,0.4943986624479294,86.75
48,0.024273767191916703,99.75,0.4922131019830704,88.75
49,0.020176971526816488,99.8125,0.5035695293545723,88.5
50,0.02095569234341383,100.0,0.51836640894413,87.75
