experiment,group,variant,lr_override,init_scheme,use_max_norm,fold,final_train_loss,final_train_acc,final_test_loss,final_test_acc,final_clip_test_acc,best_test_acc,best_epoch,best_clip_test_acc,best_clip_epoch,nan_fail,fold_seconds
lr_0.001,learning_rate,long,0.001,kaiming,False,1,0.23303043784108013,0.9298958333333334,2.1698031624158225,0.5285416666666667,0.6125,0.5420833333333334,147,0.6425,127,False,632.8037347793579
lr_0.001,learning_rate,long,0.001,kaiming,False,2,0.23607293240881214,0.930234375,2.236639752984047,0.5260416666666666,0.6025,0.535,112,0.62,127,False,624.5856273174286
lr_0.001,learning_rate,long,0.001,kaiming,False,3,0.22718380787409842,0.9332552083333333,2.1809894492228827,0.535,0.605,0.5404166666666667,146,0.6175,75,False,623.9688990116119
lr_0.001,learning_rate,long,0.001,kaiming,False,4,0.2655691441614181,0.920859375,1.669891690214475,0.618125,0.7175,0.618125,150,0.72,115,False,624.0452511310577
lr_0.001,learning_rate,long,0.001,kaiming,False,5,0.23300842153063664,0.9300390625,2.0882818698883057,0.5377083333333333,0.6025,0.5408333333333334,140,0.61,103,False,623.9055998325348
lr_0.002,learning_rate,long,0.002,kaiming,False,1,0.1861471833738809,0.9461458333333334,2.2313501834869385,0.5304166666666666,0.6,0.5425,148,0.6225,147,False,623.9405086040497
lr_0.002,learning_rate,long,0.002,kaiming,False,2,0.1936662767548114,0.9440885416666667,2.2374434620141983,0.5383333333333333,0.6175,0.5620833333333334,130,0.665,130,False,623.5747468471527
lr_0.002,learning_rate,long,0.002,kaiming,False,3,0.16773414926137775,0.9502864583333334,2.2880075176556907,0.54,0.625,0.556875,99,0.64,132,False,809.363306760788
lr_0.002,learning_rate,long,0.002,kaiming,False,4,0.18672474807438752,0.9452604166666667,1.8853057424227397,0.5854166666666667,0.65,0.5966666666666667,107,0.67,111,False,814.2626197338104
lr_0.002,learning_rate,long,0.002,kaiming,False,5,0.1696538775965261,0.9496744791666667,2.1724878499905267,0.5447916666666667,0.5875,0.550625,121,0.6175,105,False,818.2453384399414
lr_0.005,learning_rate,long,0.005,kaiming,False,1,0.14102164816965038,0.9589192708333333,2.090076004465421,0.5358333333333334,0.6175,0.5504166666666667,101,0.625,134,False,817.742847442627
lr_0.005,learning_rate,long,0.005,kaiming,False,2,0.15112023688076684,0.9574869791666667,2.109555539985498,0.545,0.625,0.5608333333333333,117,0.645,117,False,818.0442581176758
