variant,fold,final_train_loss,final_train_acc,final_test_loss,final_test_acc,final_clip_test_acc,best_test_acc,best_epoch,best_clip_test_acc,best_clip_epoch,fold_seconds
short,1,0.33269194927480483,0.8998611111111111,2.1971705622143216,0.47694444444444445,0.6475,0.4822222222222222,271,0.655,271,571.9513728618622
short,2,0.3515119423261947,0.8957291666666667,2.2370671298768787,0.4572222222222222,0.6425,0.47055555555555556,165,0.6525,156,565.8828237056732
short,3,0.3350940758569373,0.9005555555555556,2.2092822127872043,0.48333333333333334,0.6775,0.49972222222222223,211,0.69,270,567.3594942092896
short,4,0.35983443994902903,0.8935069444444445,2.0505532887246876,0.5161111111111111,0.6925,0.5280555555555555,259,0.7075,248,593.8715229034424
short,5,0.3386040757306748,0.8973784722222222,2.479436410797967,0.45055555555555554,0.63,0.4613888888888889,260,0.6375,185,573.8064916133881
long,1,0.13681548888174197,0.96078125,2.064844156304995,0.52625,0.6125,0.545625,43,0.6425,63,634.3624467849731
long,2,0.14301264062911892,0.9607942708333334,2.0257386614878974,0.5608333333333333,0.63,0.5695833333333333,123,0.6475,103,629.0204989910126
long,3,0.13031833180381605,0.9636848958333334,2.023139218489329,0.525,0.625,0.540625,132,0.6375,109,627.3320636749268
long,4,0.142804826493375,0.9604166666666667,1.6478862464427948,0.5991666666666666,0.6825,0.6058333333333333,109,0.6875,103,630.3112862110138
long,5,0.1356678341786998,0.9609635416666666,2.1232116172711053,0.5397916666666667,0.6225,0.5464583333333334,107,0.6325,96,627.8554785251617
